bairro,desc,tipo,imagem,area total,area util,valor
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/837201930/26302801930.jpg,"96,45 M² TOTAL","59,17 M² ÚTIL",2200.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/837301930/26303001930.jpg,"96,45 M² TOTAL","59,17 M² ÚTIL",2200.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/837401930/26303201930.jpg,"96,33 M² TOTAL","59,12 M² ÚTIL",2200.0
Floresta,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/777101930/8845001930.jpg,"140,91 M² TOTAL","98,25 M² ÚTIL",2200.0
Atiradores,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1103801930/25977301930.jpg,"97,64 M² TOTAL","73,94 M² ÚTIL",2200.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1493801930/26928001930.jpg,"100,24 M² TOTAL","73,61 M² ÚTIL",2150.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1162301930/17016701930.jpg,70 M² TOTAL,70 M² ÚTIL,2100.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/654401930/24427801930.jpg,"95,49 M² TOTAL","57,62 M² ÚTIL",2100.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1246601930/26303401930.jpg,"96,45 M² TOTAL","59,17 M² ÚTIL",2100.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1389301930/26303601930.jpg,"59,12 M² TOTAL","59,12 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1477501930/26344101930.jpg,"107,17 M² TOTAL","77,53 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1477601930/26353701930.jpg,"107,17 M² TOTAL","77,53 M² ÚTIL",2100.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1478101930/26323601930.jpg,"96,45 M² TOTAL","59,17 M² ÚTIL",2100.0
Santo Antonio,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1480601930/26388301930.jpg,140 M² TOTAL,140 M² ÚTIL,2100.0
Atiradores,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1476001930/26489301930.jpg,"109,59 M² TOTAL","76,06 M² ÚTIL",2100.0
Centro,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1439701930/24929201930.jpg,"68,99 M² TOTAL","54,44 M² ÚTIL",2100.0
